model,0,1,2,3,mean
bam,0.441,0.523,0.488,0.465,0.479
dcama,0.564,0.576,0.598,0.584,0.581
hdmnet,0.518,0.622,0.53,0.551,0.555
TaP (bam),0.509,0.589,0.568,0.536,0.551
TaP (dcama),0.598,0.589,0.609,0.595,0.598
TaP (hdmnet),0.547,0.614,0.567,0.559,0.572
