model,0,1,2,3,mean
bam,0.406,0.487,0.557,0.524,0.494
dcama,0.467,0.525,0.441,0.305,0.434
TaP (bam),0.55,0.562,0.626,0.577,0.578
TaP (dcama),0.473,0.552,0.529,0.426,0.495
