"Name","best_gain (Max)","best_gain","Runtime","Notes","Tags","lora_r","lr","val_fold_idx","num_iterations","k_shots","n_ways","best_miou","gain","gain_it_1","gain_it_2","gain_it_3","gain_it_4","miou","miou_it_1","miou_it_2","miou_it_3","miou_it_4","miou_orig","trainable_params"
"jumping-snowball-141","0.08951511979103088","0.08951511979103088","7","-","","64","0.001","2","5","","","0.45309844613075256","0.08951511979103088","0.04579877853393555","0.06166177988052368","0.07428979873657227","0.08951511979103088","0.45309844613075256","0.4093821048736572","0.42524510622024536","0.43787312507629395","0.45309844613075256","0.3635833263397217","3080192"
"revived-voice-134","0.08270484209060669","0.08270484209060669","5","-","","32","0.001","2","5","","","0.44628816843032837","0.08270484209060669","0.034175485372543335","0.06565675139427185","0.06510567665100098","0.08270484209060669","0.44628816843032837","0.397758811712265","0.42924007773399353","0.42868900299072266","0.44628816843032837","0.3635833263397217","1540096"
"dandy-firebrand-147","0.07126376032829285","0.07126376032829285","7","-","","16","0.001","2","5","","","0.4348470866680145","0.07126376032829285","0.018276572227478027","0.04173603653907776","0.05274590849876404","0.07126376032829285","0.4348470866680145","0.3818598985671997","0.40531936287879944","0.4163292348384857","0.4348470866680145","0.3635833263397217","770048"
"whole-music-165","0.055823713541030884","0.055823713541030884","7","-","","64","0.001","3","5","","","0.4002420902252197","0.055823713541030884","0.041708528995513916","0.04573127627372742","0.04830262064933777","0.055823713541030884","0.4002420902252197","0.38612690567970276","0.39014965295791626","0.3927209973335266","0.4002420902252197","0.34441837668418884","3080192"
"sandy-sky-167","0.052055031061172485","0.052055031061172485","6","-","","16","0.001","3","5","","","0.39647340774536133","0.052055031061172485","0.01280251145362854","0.026478052139282227","0.03133702278137207","0.052055031061172485","0.39647340774536133","0.3572208881378174","0.37089642882347107","0.3757553994655609","0.39647340774536133","0.34441837668418884","770048"
"confused-lake-153","0.05190137028694153","0.05190137028694153","6","-","","32","0.001","3","5","","","0.39631974697113037","0.05190137028694153","0.024442195892333984","0.03433799743652344","0.043188512325286865","0.05190137028694153","0.39631974697113037","0.3688605725765228","0.3787563741207123","0.3876068890094757","0.39631974697113037","0.34441837668418884","1540096"
"hearty-tree-155","0.02791491150856018","0.02791491150856018","6","-","","64","0.001","0","5","","","0.4302424490451813","0.027766138315200806","0.02791491150856018","0.02157503366470337","0.020057976245880127","0.027766138315200806","0.4300936758518219","0.4302424490451813","0.42390257120132446","0.4223855137825012","0.4300936758518219","0.4023275375366211","3080192"
"absurd-frost-170","0.0265447199344635","0.0265447199344635","6","-","","16","0.001","0","5","","","0.4288722574710846","0.0265447199344635","0.010443776845932007","0.012998014688491821","0.010934919118881226","0.0265447199344635","0.4288722574710846","0.4127713143825531","0.4153255522251129","0.4132624566555023","0.4288722574710846","0.4023275375366211","770048"
"jumping-wood-174","0.025588423013687134","0.025588423013687134","6","-","","32","0.001","0","5","","","0.4279159605503082","0.025588423013687134","0.017198413610458374","0.014464229345321655","0.023161619901657104","0.025588423013687134","0.4279159605503082","0.41952595114707947","0.41679176688194275","0.4254891574382782","0.4279159605503082","0.4023275375366211","1540096"
"likely-salad-137","0.02390235662460327","0.02390235662460327","6","-","","64","0.0001","2","5","","","0.38748568296432495","0.02390235662460327","0.005858957767486572","0.017361938953399658","0.018278926610946655","0.02390235662460327","0.38748568296432495","0.36944228410720825","0.38094526529312134","0.38186225295066833","0.38748568296432495","0.3635833263397217","3080192"
"valiant-dew-172","0.022268027067184448","0.022268027067184448","6","-","","64","0.001","1","5","","","0.43663889169692993","0.022268027067184448","0.017422109842300415","0.01924353837966919","0.0215986967086792","0.022268027067184448","0.43663889169692993","0.4317929744720459","0.4336144030094147","0.4359695613384247","0.43663889169692993","0.4143708646297455","3080192"
"misty-capybara-159","0.018377602100372314","0.018377602100372314","7","-","","32","0.001","1","5","","","0.4327484667301178","0.018377602100372314","0.008792877197265625","0.010232120752334595","0.014294296503067017","0.018377602100372314","0.4327484667301178","0.4231637418270111","0.4246029853820801","0.4286651611328125","0.4327484667301178","0.4143708646297455","1540096"
"dazzling-planet-143","0.018149733543395996","0.018149733543395996","6","-","","16","0.001","1","5","","","0.4325205981731415","0.018149733543395996","0.002995014190673828","0.005970299243927002","0.004567205905914307","0.018149733543395996","0.4325205981731415","0.4173658788204193","0.4203411638736725","0.4189380705356598","0.4325205981731415","0.4143708646297455","770048"
"swept-plant-135","0.014710754156112671","0.014710754156112671","7","-","","32","0.0001","2","5","","","0.37829408049583435","0.014710754156112671","0.002519667148590088","0.010633200407028198","0.013697773218154907","0.014710754156112671","0.37829408049583435","0.36610299348831177","0.3742165267467499","0.3772810995578766","0.37829408049583435","0.3635833263397217","1540096"
"restful-night-178","0.013939857482910156","0.013939857482910156","7","-","","64","0.0001","3","5","","","0.358358234167099","0.013939857482910156","0.004777491092681885","-0.0011304616928100586","0.008649885654449463","0.013939857482910156","0.358358234167099","0.3491958677768707","0.3432879149913788","0.3530682623386383","0.358358234167099","0.34441837668418884","3080192"
"earthy-sound-157","0.011771589517593384","0.011771589517593384","6","-","","16","0.0001","2","5","","","0.37535491585731506","0.009952276945114136","0.0013400912284851074","0.007802188396453857","0.011771589517593384","0.009952276945114136","0.3735356032848358","0.3649234175682068","0.37138551473617554","0.37535491585731506","0.3735356032848358","0.3635833263397217","770048"
"easy-monkey-151","0.00687718391418457","0.00687718391418457","7","-","","32","0.0001","3","5","","","0.3512955605983734","0.00687718391418457","0.0015445947647094727","-0.000008851289749145508","0.0009676814079284668","0.00687718391418457","0.3512955605983734","0.3459629714488983","0.3444095253944397","0.3453860580921173","0.3512955605983734","0.34441837668418884","1540096"
"wild-forest-176","0.004076480865478516","0.004076480865478516","7","-","","16","0.0001","3","5","","","0.34849485754966736","0.004076480865478516","-0.0003827810287475586","-0.003718465566635132","-0.0012024641036987305","0.004076480865478516","0.34849485754966736","0.3440355956554413","0.3406999111175537","0.3432159125804901","0.34849485754966736","0.34441837668418884","770048"
"graceful-gorge-133","0","0","7","-","","32","0.0001","0","5","","","0.4023275375366211","-0.010657429695129395","-0.008738309144973755","-0.011718451976776123","-0.01743045449256897","-0.010657429695129395","0.3916701078414917","0.39358922839164734","0.39060908555984497","0.3848970830440521","0.3916701078414917","0.4023275375366211","1540096"
"zesty-terrain-139","0","0","8","-","","64","0.0001","0","5","","","0.4023275375366211","-0.006443113088607788","-0.00433388352394104","-0.009749263525009155","-0.009653717279434204","-0.006443113088607788","0.3958844244480133","0.39799365401268005","0.39257827401161194","0.3926738202571869","0.3958844244480133","0.4023275375366211","3080192"
"toasty-tree-145","0","0","7","-","","32","0.0001","1","5","","","0.4143708646297455","-0.005352973937988281","-0.002733469009399414","-0.008518099784851074","-0.008863955736160278","-0.005352973937988281","0.4090178906917572","0.41163739562034607","0.4058527648448944","0.4055069088935852","0.4090178906917572","0.4143708646297455","1540096"
"electric-dew-149","0","0","6","-","","64","0.0001","1","5","","","0.4143708646297455","-0.003249257802963257","-0.0027555227279663086","-0.004247546195983887","-0.0044020116329193115","-0.003249257802963257","0.4111216068267822","0.4116153419017792","0.4101233184337616","0.40996885299682617","0.4111216068267822","0.4143708646297455","3080192"
"different-puddle-161","0","0","7","-","","16","0.0001","0","5","","","0.4023275375366211","-0.012637406587600708","-0.010701566934585571","-0.01262691617012024","-0.01762673258781433","-0.012637406587600708","0.3896901309490204","0.3916259706020355","0.38970062136650085","0.38470080494880676","0.3896901309490204","0.4023275375366211","770048"
"colorful-darkness-163","0","0","6","-","","16","0.0001","1","5","","","0.4143708646297455","-0.010971307754516602","-0.002872645854949951","-0.010169029235839844","-0.010067582130432129","-0.010971307754516602","0.4033995568752289","0.41149821877479553","0.40420183539390564","0.40430328249931335","0.4033995568752289","0.4143708646297455","770048"
