model,0,1,2,3,mean
bam,0.68,0.714,0.659,0.619,0.668
dcama,0.706,0.71,0.528,0.622,0.642
TaP (bam),0.706,0.706,0.696,0.659,0.691
TaP (dcama),0.704,0.718,0.681,0.667,0.693
